pid,mu,sigma
617.0,2020.1233419363525,129.80345878660907
618.0,1281.3760099909186,94.922506308468954
619.0,1580.0324244293824,205.60701158795032
620.0,1285.8042463960242,202.65452881446785
621.0,1608.374242103871,109.59403135126178
622.0,1455.4196280694387,90.24350318633627
623.0,853.43744642294382,146.0313249757242
624.0,1079.9248201255607,315.64495122049146
625.0,1431.75587672299,107.0763936182267
626.0,1358.1018821767711,107.51178568454718
627.0,877.2543750564505,135.31576265641428
628.0,1017.6634105184505,209.73652882223956
629.0,835.62513406778066,166.2097029027388
630.0,1958.4261648252277,317.89166601024874
631.0,940.94962292492278,316.95825632156726
632.0,1500.0,500.0
633.0,1114.5377577962543,158.51261092294712
634.0,750.61230616159764,300.26262830536439
635.0,1081.1684558872989,368.66735287482777
636.0,908.08720197041328,264.0735513370214
637.0,1109.7438237097294,93.554843097901752
638.0,1645.4267433060995,250.68573429171605
639.0,973.17983402587333,358.99457010043778
640.0,1902.1901190224867,249.05640592604669
641.0,618.56688834652039,184.77883424723737
642.0,1042.3074559343274,161.58062260000798
643.0,1190.501138442703,329.314240668595
644.0,1607.1220282624301,172.39503320406394
645.0,474.80662948366353,158.04754810832213
646.0,1247.7640042432688,394.29095820711154
647.0,1297.9620321605817,246.90272486962851
648.0,2085.0226066444725,313.57720014848064
649.0,754.29581442978451,178.35719641562008
650.0,776.89731321121337,348.68054509242688
651.0,840.04063378838032,116.77677383835366
652.0,953.23221523925974,360.64500962233194
653.0,816.09163802683463,143.83599065337387
654.0,1217.4330184903283,387.59776830985413
655.0,1824.169944878739,379.42645615721921
656.0,764.12915818945032,350.51665240824235
657.0,647.96230823500923,267.04466865970818
658.0,916.08402345472371,94.669431437137632
659.0,1508.9212475110526,278.66076689562186
660.0,855.98211105111852,174.73645597551493
661.0,1232.1796750822919,236.91305887418321
662.0,1879.9555472491156,358.69335648238234
663.0,648.89344040110052,135.35027853247354
664.0,1273.9870505676352,97.158344495919707
665.0,1304.6347299798879,312.28838559462361
666.0,1058.5576714807478,375.0158138442913
667.0,1375.2031717665909,122.38025592704584
668.0,1004.5206749283027,343.71247091597922
669.0,1097.6662818851721,338.27719983018773
670.0,776.09666849551854,304.40553490772675
671.0,1100.2860590211733,104.55742401100659
672.0,2000.8337813121934,134.90991285919864
673.0,995.49477623850544,355.09459327589411
674.0,1169.389126275021,99.033701788825582
675.0,1143.6817518280732,124.24994724809441
676.0,1695.23840414864,392.22430470327492
677.0,601.02004966047707,170.52744752120338
678.0,1194.1265363987077,382.72597317151116
679.0,947.26504268663973,355.39395017278997
